,id,title,review
0,0,아바타 리마스터링,"가끔 이런 영화 두렵다
최고의 찬사를 받은 검증받은 영화인데 난 못느낄때
잘만든 영화인건 어렴풋이 알겠는데
대박 최고 그런 느낌까진 아닐때
양조위의 키에 더 신경쓰이는 영화"
1,1,아바타 리마스터링,스쳐가는 순간들로 사랑의 시간을 인수분해하다.
2,2,아바타 리마스터링,"그만.
이건 나때문에 한거잖소..울지마요.
연습인데.."
3,3,아바타 리마스터링,선을 넘지 않았기에 완성된 그 들 인생의 화양연화...
4,4,아바타 리마스터링,창가를 바라만 보아도 눈물이 나는 인연이었어도 흘려보냄으로써 더 아름다워지는 것이 있음을 아마 차우와 리첸은 알고있었나 보다.
5,5,아바타 리마스터링,추억이란 이름의 지옥
6,6,아바타 리마스터링,"국수,죽은 주식이 아니다. 허기를 달래줄 순 있어도 포만감(욕망)을 얻으려고 먹지는 않는다. 딱 이와같은 사랑이었다. 인생에 가장 아름다운 한때 화양연화. 그에 걸맞는 여운이었다."
7,7,아바타 리마스터링,"연기처럼 스쳐가는 사람일 줄 알았는데,
코끝 가득 짙게 배인 향기로 넌 남았구나."
8,8,아바타 리마스터링,왕가위를 좋아한다는 말은 무의미하다. 그건 비틀즈를 좋아한다는 것과 비슷한 말이다.
9,9,아바타 리마스터링,"그 창틀은 먼지가 끼였어도 우리의 화양연화였음에
보고 있자면 눈물이 차올라, 모든 것이 희미해진다.
미쳐 피지 못한 고백.
여기 묻고 가면
천 년쯤 지나 다시 만날 수 있을까?"
10,10,아바타 리마스터링,"시간은 계속 흐르고, 우리는 무언가를 계속 잃어버린다"
11,11,아바타 리마스터링,"이뤄지지 못한 사랑은 평생 가슴에 사무친다.
(+영화관에서 다시 보니 더 좋구나..😭😭)
@2020.12 재개봉"
12,12,아바타 리마스터링,"스쳐지나가는 순간, 암묵적인 사랑의 시작. 양조위의 눈빛과 장만옥의 몸선은 치명적이다."
13,13,아바타 리마스터링,"화양연화, 인생에서 가장 아름다운시기는 역시 과거일까, 언제나 추억은 미화되기 마련이며, 어쩌면 사랑의 완성은 이별일까"
14,14,아바타 리마스터링,"잡고 싶던 그의 손을 잡는 대신 스스로의 팔을 움켜쥐며 삼켜야 했던,
몇년이 지난 뒤에도 눈시울 젖어오는, 아무도 듣지 못하는 구멍에 속삭일 수밖에 없는,
처연해서 아름다운 사랑."
15,15,아바타 리마스터링,"""추잡한 줄 알았는데 겪어보니 니들도 이렇게 애틋했니, 배신감만 더 커지는구나"""
16,16,아바타 리마스터링,"밤에는 눈을 감았다
사랑해도 혼나지 않는 꿈이었다"
17,17,아바타 리마스터링,현세대에게 바치는 그때 그 시절의 낭만.
18,18,아바타 리마스터링,"자꾸만 또 보고싶은 미장센. 꾹 누르고 절제한 그래서 더 아픈 이야기. 느린 움직임, 보이지 않는 그들의 얼굴, 유려한 치파오, 우연같은 빗소리, 자욱한 담배연기."
19,19,아바타 리마스터링,"균열 틈에 당신이 자랐고 그런 당신을 사랑했다.
영화 컷 마다 복사를 해서 방마다 붙이고 싶었고
음악은 붉은 전등 아래 앉아 계속 듣고 싶다. 치부라고 생각했던 사랑, 들추고 싶지 않은 사랑일 수록 하고싶지."
20,20,아바타 리마스터링,"아껴두었던 왕가위영화!과연 좋구나 그들의 아름다웠던 시간을 바라보는 것만으로도 재미났고 불필요함을 잘라버린 편집, 장만옥의 치파오, 양조위의 포마드머리와 담배연기, 그리고 영화음악"
21,21,아바타 리마스터링,"'나요. 티켓이 한 장 더 있다면 나와 같이 가겠소?'
'나예요. 내게 자리가 있다면 내게로 올 건가요?'"
22,22,아바타 리마스터링,"가슴이 저릿저릿하다.
너무나 사랑하지만 서로를 위해 뒷걸음질쳐야만 하는 사랑이 어떤 것인지 알기에, 더욱.
그럼에도 그 사랑이 인생의 붉은빛 화양연화였음에, 마음 더 아려온다."
23,23,아바타 리마스터링,"시간이 흐를수록 과거의 기억은 반복되며 미화되고, 그 미화된 기억은 추억이라는 이름으로 현재의 빈 공간들을 메운다. 하지만 시간이 지나도 그곳에 멈춰 있을 공간들의 무게감에 비해, 쉽게 휘발되는 그 기억들은 그곳에 오래 머물지 못한다."
24,24,터미네이터 2:오리지널,아윌비백을 외치며 다음 편을 십년동안 기다리게 만든것도 이 영화가 엄청 잘만들어졌다는 증거아닐까.
25,25,터미네이터 2:오리지널,"터미네이터1 OST을 김국환이 부릅니다. -  
타타타 🎶 
알몸으로 태어나서 옷 한벌은 건졌잖소~🎶🎶🎶
터미네이터2 OST을 홍진영이 부릅니다. -  
엄지 척🎶 
엄지 엄지 척~ 엄지 엄지 척~🎶🎶🎶"
26,26,터미네이터 2:오리지널,더 이상 픽션이 아닐 수도 있겠다는 불안감.
27,27,터미네이터 2:오리지널,영화 역사상 가장 훌륭한 속편을 꼽는다면 바로 이 영화이지 않을까.
28,28,터미네이터 2:오리지널,"그때는 몰랐다
진짜 계속 돌아올줄은.."
29,29,터미네이터 2:오리지널,"세 단어면 충분하다
"" 뚜둔 뚠 뚜둔 """
30,30,터미네이터 2:오리지널,이미 미래가 정해진 싸움에서 어떻게 대처해야 하는가
31,31,터미네이터 2:오리지널,20세기 SF 액션 블록버스터 장르의 정점. (재개봉 기념 재관람)
32,32,터미네이터 2:오리지널,이 영화는 극찬하지 않을 수 없다. 1991년에 이런 영화가.....
33,33,터미네이터 2:오리지널,"지금봐도 놀라운 기술력과 액션에다가 내부 논리가 확립된 치밀한 각본, 그리고 소년과 기계의 아름다운 우정. 러닝타임을 다양한 액션, 신선한 SF 컨셉과 웃고 울리는 휴머니즘으로 꽉 채운, 완벽에 가까운 효율성의 오락."
34,34,터미네이터 2:오리지널,1편에 흠뻑 빠져서 바로 2편까지 달리고 왔다. 밤새서 본걸 전혀 후회하지 않는다. 아직까지도 수많은 영화 캐릭터들 중 히어로와 빌런 두 영역에서 골고루 이름을 올린(American Film Institute's 100 Heroes and Villians) 캐릭터는 터미네이터가 유일하다고 하다. 빌런으로 시작했다가 히어로로 성공적 탈바꿈을 할 수 있었던 영화. 또한 1편보다 2편이 더 유명한 영화이기도 하다(개인적으로는 1편이 더 좋았다). 10년이 지난 후 눈에 띄게 많아진 예산과 향상된 기술로 가능해진 카메론이 표현해내고자 했던 '진짜' 터미네이터를 그려낼수 있었다.
35,35,터미네이터 2:오리지널,당대에 가장 충격적이었던 CG와 특수효과.차가운 심장에 따뜻한 감성을 학습해가는 기계의 모습을 통해 휴머니즘을 역설하는 SF걸작.
36,36,터미네이터 2:오리지널,이 영화를 보고 전율하지 않을 수 가 없다. 지금봐도 재미있는 영화계의 문화유산
37,37,터미네이터 2:오리지널,우리는 언제 또 다시 이런 영화를 볼수있을까
38,38,터미네이터 2:오리지널,1편보다 모든면에서 훨씬 재미있었다. T-1000이 액체금속 터미네이터라는 설정이 너무 좋았고  T-800과 어린 존코너의 유대감 그리고 엔딩장면까지 역시 구관이 명관이라고 전혀 지루하지 않았다. 특히 90년도때 또 다른 센세이션 영화인 쥬라기 공원보다 먼저 이 영화가 먼저 나왔다는것만으로도 정말 대단한 영화다.
39,39,터미네이터 2:오리지널,"10여년만의 재관람
 역시 터미네이터 시리즈의 최고작답다
놀라운 시각효과는 지금 다시 봐도 명불허전
 린다 해밀턴의 사라 코너는 진정한 걸크러쉬의 시조새 ㅎㄷㄷ
#He Will Be Back
#엄지척
#눈물
#CGV 이동진의 라이브톡"
40,40,터미네이터 2:오리지널,인간과 기계라는 장벽을 초월한 순수한 감정의 정수라는 강렬한 카타르시스를 선사함. 모든 장면이 최고지만 당대 최첨단의 CG로 구현한 T1000과의 결투신은 정말 말이 필요없는 듯.
41,41,터미네이터 2:오리지널,"누가 1편만한 속편 없다 그랬어!
'완벽한'이라는 수식어는 이럴때 쓰는 것.
-
영화사적으로도, 작품 내적으로도 할리우드를 넘어서 영화계에 한 획을 그었을 정도의 파급력을 지녔다고봐도 무방한 그 어느하나 흠잡을것 없는 완벽한 속편이자 블록버스터."
42,42,터미네이터 2:오리지널,"이때는 액체 로봇이 짱이었는데...
젊은 시절의 아놀드 슈왈제네거 다시보니 지금에 비해 너무 순박한 시골청년 같이 생겨서 순간순간 흠칫거렸다."
43,43,터미네이터 2:오리지널,"나의 인생영화!! 
가장 큰 관에서 첫사랑을 재회하듯 설레는 맘으로 그들을 다시 영접했다.
사라 코너의 첫 대사부터 줄줄 외우면서 시작하고 에드워드 오빠의 변성기 갈라지는 목소리까지 사랑했던 그때의 기억! 유일무이했던 여전사 캐릭터 사라코너, 액션영화는 T2이전과 이후로 나뉘는 기준이 된 SF영화의 마스터피스! 
영원히 사랑할 나의 T2!"
44,44,터미네이터 2:오리지널,"기계에게 인간이란, 인간에게 인간이란.
인간과 과학에 대한 깊은 철학과 고찰이 담긴 SF 걸작. 액션 영화가 멍청할 필요없다는 것을 잘 보여주는 슈워제네거와 카메론의 최고 작품."
45,45,터미네이터 2:오리지널,"""너가 왜 눈물을 흘리는지 알아, 인간만이 흘릴 수 있지""
28년이 지난 현재에도 전혀 손색없는 작품
치밀한 영화적 장치로 끈끈하게 세 인물을 묶으며 성장시킨다.
내가 버디영화와 성장 영화를 좋아하는 이유를 구구절절 설명하지 않아도 이 영화 제목 하나면 된다.
전작이 무작정 달렸다면 후속작은 왜 달려야하는지를 세 인물의 심층적인 심리를 통해 제대로 설득시킨다.
.
<영화속 철학>
데카르트는 이런 말을 했다
'나는 생각한다 고로 존재한다.'
생각에 관한 생각을 하고 있는 사실만으로도, 생각의 주체는 틀림없이 '나'일 수 밖에 없다는, 메타인지의 존재 여부를 깨닫는 것으로 '존재'를 증명할 수 있다고 하였다.
훗날 라캉은 이렇게 반박했다.
'우리는 주체적인 사고를 하기 보다는 어떤 권위적 헤게모니의 악마에게 복종하는 경향이 있다'
<인용: 밤에 읽는 소심한 철학책>
.
주체적인 사고보다는 프로그래밍에 복종하는 T-800의 모습은 라캉의 입장을 대변하고
T-800이 존 코너에게 네가 왜 눈물을 흘리는지 안다고 말하는 장면은 데카르트의 '영혼을 가진 기계'를 간접적으로 언급한다.
이렇게 T-800이라는 인물은 데카르트의 명제와 라캉의 반박이 양립하며 서로 다투고 있다.
결론적으로 T-800은 프로그래밍에 굴복하여 죽음을 택했지만, 후반부로 갈수록 인간스러워지는 말투와 존 코너와의 마지막 대화를 통해 데카르트 명제에 관한 일련의 여지를 남기고 있다.
어쩌면 T-800의 죽음은 자신의 존재, '주체'임을 유지하기 위함일지도 모른다. 또한 '정해진 운명은 없다'라는, 그들을 움직이게 하는 모토 자체가 스스로 삶을 개척해 나가는 '실존'임을 나타내고 있을지도 모른다.
결국, 인간의 승리와 희망이라는 결말과 함께 삶에 대한 의지를 다지는 것이 T-800이 고로 '존재'한다는 것을 증명한다.

<메시아와 사라코너>
사라코너는 세상을 구원할 존 코너를 잉태.
세상 사람들은 세상이 멸망할 것이라는 사라코너의 예언을 무시하고 비웃으며 정신병자라 칭함.
~"
46,46,터미네이터 2:오리지널,I will be back 은 속편으로 돌아오겠다는 것이 아니라 보다 더 나은 미래로 돌아오겠다는 말이었다.
47,47,빽 투 더 퓨쳐,이 시리즈가 몇 년 내로 리부트될 거라는 데에 1만원 겁니다!
48,48,빽 투 더 퓨쳐,나는 앞으로 이런  완벽한 시리즈는 다신 나오지 않을 것임을 확신한다
49,49,빽 투 더 퓨쳐,"""미래는 스스로 만드는 것."" 이라는 교훈과 함께 마무리짓다."
50,50,빽 투 더 퓨쳐,"""네 미래가 아직은 쓰여지지 않았어. 아무도 정해진 미래는 없어. 자신의 미래는 스스로가 만들어 나가는 거야. 그러니 좋은 미래를 만들어 나가거라.""

-영화 <빽 투 더 퓨쳐 3> 에미트 브라운 박사의 대사-"
